Name,Gender,Category,Nationality,Status,Birth Year,Death year,Age,Marriage,Education Level,Profession,Profession group,Olympics,Gold Metals,Active Player,Political,Forbes,Grammy,Grammy_num,Oscar,Big_four_attend,Service time,Industry time
Virginia Apgar,1,Medicine,United States,1,1909,1974,65,0,D,Medical and Research,Anesthesiologist,0,0,0,,0,0,0,0,0,0,40
Florence Nightingale,1,Medicine,United Kingdom,1,1820,1910,90,0,SS,Medical and Research,Nurse,0,0,0,,0,0,0,0,0,0,45
Alice Ball,1,Medicine,United States,1,1892,1916,24,0,G,Biology and Chemistry,Chemist,0,0,0,,0,0,0,0,0,0,8
Patricia Bath,1,Medicine,United States,1,1942,2019,77,1,D,Medical and Research,Ophthalmologist,0,0,0,,0,0,0,0,0,0,40
Linda Buck,1,Medicine,United States,0,1947,2023,76,0,D,Biology and Chemistry,Biologist,0,0,0,,0,0,0,0,0,0,40
Elizabeth Blackwell,1,Medicine,United States,1,1821,1910,89,0,D,Medical and Research,Physician,0,0,0,,0,0,0,0,0,0,40
Harriet Brooks,1,Medicine,Canada,1,1876,1933,57,0,C,Physics and Math,Physicist,0,0,0,,0,0,0,0,0,0,10
Clara Barton,1,Medicine,United States,1,1821,1912,91,0,SS,Medical and Research,Nurse,0,0,0,,0,0,0,0,0,0,60
Dorothy Hodgkin,1,Medicine,United Kingdom,1,1910,1994,84,1,D,Biology and Chemistry,Chemist,0,0,0,,0,0,0,0,0,0,40
Rachel Carson,1,Medicine,United States,1,1907,1964,57,0,G,Biology and Chemistry,Biologist,0,0,0,,0,0,0,0,0,0,30
Pauline Chen,1,Medicine,United States,0,1966,2023,57,0,D,Medical and Research,Physician,0,0,0,,0,0,0,0,0,0,25
Gerty Cori,1,Medicine,United States,1,1896,1957,61,1,D,Biology and Chemistry,Biochemist,0,0,0,,0,0,0,0,0,0,30
Marie Curie,1,Medicine,Polish-French,1,1867,1934,67,1,D,Physics and Math,Physicist,0,0,0,,0,0,0,0,0,0,40
Gertrude B. Elion,1,Medicine,United States,1,1918,1999,81,0,G,Biology and Chemistry,Pharmacologist,0,0,0,,0,0,0,0,0,0,45
Jane Goodall,1,Medicine,United Kingdom,0,1934,2023,89,1,D,Biology and Chemistry,Primatologist,0,0,0,,0,0,0,0,0,0,60
Mary Edwards Walker,1,Medicine,United States,1,1832,1919,87,1,D,Medical and Research,Surgeon,0,0,0,,0,0,0,0,0,0,40
Alice Hamilton,1,Medicine,United States,1,1869,1970,101,0,D,Medical and Research,Physician,0,0,0,,0,0,0,0,0,0,40
Mae Jemison,1,Medicine,United States,0,1956,2023,67,0,D,Space and Astronomy,Astronaut,0,0,0,,0,0,0,0,0,0,30
Rosalind Franklin,1,Medicine,United Kingdom,1,1920,1958,38,0,D,Biology and Chemistry,Chemist,0,0,0,,0,0,0,0,0,0,15
Barbara McClintock,1,Medicine,United States,1,1902,1992,90,0,D,Biology and Chemistry,Geneticist,0,0,0,,0,0,0,0,0,0,60
May-Britt Moser,1,Medicine,Norway,0,1963,2023,60,1,D,Medical and Research,Neuroscientist,0,0,0,,0,0,0,0,0,0,30
Sunita Williams,1,Medicine,United States,0,1965,2023,58,1,G,Space and Astronomy,Astronaut,0,0,0,,0,0,0,0,0,0,20
Helen Brooke Taussig,1,Medicine,United States,1,1898,1986,88,0,D,Biology and Chemistry,Cardiologist,0,0,0,,0,0,0,0,0,0,40
Elizabeth Blackburn,1,Medicine,Australia,0,1948,2023,75,1,D,Biology and Chemistry,Biologist,0,0,0,,0,0,0,0,0,0,40
Jane C. Wright,1,Medicine,United States,1,1919,2013,94,1,D,Biology and Chemistry,Oncologist,0,0,0,,0,0,0,0,0,0,40
Tu Youyou,1,Medicine,China,0,1930,2023,93,1,G,Biology and Chemistry,Pharmacologist,0,0,0,,0,0,0,0,0,0,50
Bonnie Bassler,1,Medicine,United States,0,1962,2023,61,0,D,Biology and Chemistry,Microbiologist,0,0,0,,0,0,0,0,0,0,30
Maria Sibylla Merian,1,Medicine,Germany,1,1647,1717,70,1,SS,Biology and Chemistry,Naturalist,0,0,0,,0,0,0,0,0,0,50
