Name,Question_count,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11
Virginia Apgar,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age over 60?,Arts and humanities?,,
Florence Nightingale,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Female?,Service in Industry over 40yrs?,Born between 1800-1900?,
Alice Ball,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Female?,Married?,Physician?,
Patricia Bath,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age Over 70?,Graduate level Education?,Arts and humanities?,
Linda Buck,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Arts and humanities?,Finance?,Married?,
Elizabeth Blackwell,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Born between 1800-1900?,Physician?,,
Harriet Brooks,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,Age over 60?,Physicist?,Female?,
Clara Barton,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Dead?,Married?,Win Nobel?,
Dorothy Hodgkin,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Age Over 80?,Fashion?,Arts and humanities?,Dead?,
Rachel Carson,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age over 60?,Arts and humanities?,,
Pauline Chen,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Age over 60?,Work in Research Institutes?,Finance?,
Gerty Cori,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age Over 70?,Low Education?,Arts and humanities?,
Marie Curie,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,Age over 60?,Female?,,
Gertrude B. Elion,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Dead?,Married?,Win Nobel?,
Jane Goodall,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Female?,Won Oscar?,Low Education?,,
Mary Edwards Walker,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Born between 1800-1900?,Physician?,Married?,
Alice Hamilton,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Born between 1800-1900?,Physician?,,
Mae Jemison,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Age over 60?,Tech?,Space and Astronomy?,
